Source,Target,Type,Id,Label,Weight
1,1,Directed,0,FR/FR,0
2,5,Directed,1,TR/DE,0.1399399448038488
3,1,Directed,2,GB/FR,0.046716567858587396
4,1,Directed,3,US/FR,0.3849052968639014
5,1,Directed,5,DE/FR,0.037931194623696714
6,1,Directed,6,PL/FR,0.07353714627389986
7,1,Directed,7,EG/FR,0.16229290133024354
8,1,Directed,8,ES/FR,0.04130673116199011
2,1,Directed,9,TR/FR,0.1399399448038488
10,1,Directed,12,BR/FR,0.41994391002448467
11,1,Directed,13,BE/FR,0.027865273080576014
12,1,Directed,14,MX/FR,0.46073934168239233
13,1,Directed,15,VE/FR,0.38384075609938867
14,1,Directed,16,IT/FR,0.04653150423284304
15,1,Directed,17,PH/FR,0.5575354164139038
16,1,Directed,19,NL/FR,0.03861541014113676
17,1,Directed,20,CA/FR,0.30389951854962904
5,12,Directed,21,DE/MX,0.037931194623696714
14,4,Directed,22,IT/US,0.04653150423284304
9,1,Directed,25,CO/FR,0.4227564572183337
4,3,Directed,27,US/GB,0.3849052968639014
18,1,Directed,28,RU/FR,0.30625215613871093
20,1,Directed,31,AR/FR,0.5529198236086698
21,1,Directed,32,AU/FR,0.7620257738341529
16,27,Directed,33,NL/ID,0.03861541014113676
19,1,Directed,35,IE/FR,0.053062770512455774
22,1,Directed,38,ZA/FR,0.4297923743088296
23,1,Directed,39,IN/FR,0.3644863102157271
4,12,Directed,40,US/MX,0.3849052968639014
8,12,Directed,41,ES/MX,0.04130673116199011
24,7,Directed,43,PT/EG,0.05449428914746807
1,14,Directed,45,FR/IT,0
24,1,Directed,46,PT/FR,0.05449428914746807
4,4,Directed,47,US/US,0.3849052968639014
8,15,Directed,48,ES/PH,0.04130673116199011
22,4,Directed,49,ZA/US,0.4297923743088296
17,23,Directed,50,CA/IN,0.30389951854962904
3,12,Directed,55,GB/MX,0.046716567858587396
4,5,Directed,56,US/DE,0.3849052968639014
1,4,Directed,59,FR/US,0
8,14,Directed,60,ES/IT,0.04130673116199011
20,12,Directed,61,AR/MX,0.5529198236086698
1,5,Directed,63,FR/DE,0
3,3,Directed,65,GB/GB,0.046716567858587396
2,12,Directed,68,TR/MX,0.1399399448038488
14,14,Directed,69,IT/IT,0.04653150423284304
8,13,Directed,71,ES/VE,0.04130673116199011
17,12,Directed,72,CA/MX,0.30389951854962904
20,10,Directed,73,AR/BR,0.5529198236086698
20,8,Directed,74,AR/ES,0.5529198236086698
16,14,Directed,75,NL/IT,0.03861541014113676
7,12,Directed,76,EG/MX,0.16229290133024354
22,3,Directed,77,ZA/GB,0.4297923743088296
25,1,Directed,78,AE/FR,0.2610175969913114
1,15,Directed,80,FR/PH,0
14,12,Directed,85,IT/MX,0.04653150423284304
10,7,Directed,87,BR/EG,0.41994391002448467
5,5,Directed,88,DE/DE,0.037931194623696714
16,28,Directed,89,NL/JP,0.03861541014113676
26,1,Directed,92,SA/FR,0.22336664728547603
8,8,Directed,93,ES/ES,0.04130673116199011
14,21,Directed,94,IT/AU,0.04653150423284304
19,12,Directed,95,IE/MX,0.053062770512455774
5,14,Directed,96,DE/IT,0.037931194623696714
1,23,Directed,98,FR/IN,0
16,12,Directed,99,NL/MX,0.03861541014113676
5,4,Directed,100,DE/US,0.037931194623696714
8,4,Directed,102,ES/US,0.04130673116199011
10,12,Directed,104,BR/MX,0.41994391002448467
1,12,Directed,107,FR/MX,0
20,5,Directed,108,AR/DE,0.5529198236086698
22,12,Directed,112,ZA/MX,0.4297923743088296
8,20,Directed,113,ES/AR,0.04130673116199011
8,31,Directed,116,ES/UY,0.04130673116199011
27,1,Directed,125,ID/FR,0.6272868067781278
28,1,Directed,126,JP/FR,0.49555009962791813
3,4,Directed,127,GB/US,0.046716567858587396
1,17,Directed,128,FR/CA,0
12,12,Directed,130,MX/MX,0.46073934168239233
3,5,Directed,131,GB/DE,0.046716567858587396
4,10,Directed,133,US/BR,0.3849052968639014
13,12,Directed,135,VE/MX,0.38384075609938867
3,14,Directed,136,GB/IT,0.046716567858587396
6,12,Directed,137,PL/MX,0.07353714627389986
8,9,Directed,138,ES/CO,0.04130673116199011
