Source,Target,Type,Id,Label,Weight
1,1,Directed,0,FR/FR,33268.0972
2,5,Directed,1,TR/DE,5.9682
3,1,Directed,2,GB/FR,12151.112599999999
4,1,Directed,3,US/FR,29221.242799999996
5,1,Directed,5,DE/FR,9332.1
6,1,Directed,6,PL/FR,318.6
7,1,Directed,7,EG/FR,127.7987
8,1,Directed,8,ES/FR,10866.6
2,1,Directed,9,TR/FR,1300.2150000000001
10,1,Directed,12,BR/FR,2340.9
11,1,Directed,13,BE/FR,1351.8
12,1,Directed,14,MX/FR,947.7
13,1,Directed,15,VE/FR,648.9
14,1,Directed,16,IT/FR,3731.4
15,1,Directed,17,PH/FR,59.24100000000001
16,1,Directed,19,NL/FR,2178
17,1,Directed,20,CA/FR,1251.9
5,12,Directed,21,DE/MX,56.7
14,4,Directed,22,IT/US,107.10000000000001
9,1,Directed,25,CO/FR,133.8538
4,3,Directed,27,US/GB,49.560399999999994
18,1,Directed,28,RU/FR,42.1023
20,1,Directed,31,AR/FR,2230.2000000000003
21,1,Directed,32,AU/FR,755.1
16,27,Directed,33,NL/ID,2.7
19,1,Directed,35,IE/FR,1528.2
22,1,Directed,38,ZA/FR,571.5
23,1,Directed,39,IN/FR,51.400999999999996
4,12,Directed,40,US/MX,498.83619999999996
8,12,Directed,41,ES/MX,946.8000000000001
24,7,Directed,43,PT/EG,1.8
1,14,Directed,45,FR/IT,50.112399999999994
24,1,Directed,46,PT/FR,275.40000000000003
4,4,Directed,47,US/US,186.3902
8,15,Directed,48,ES/PH,18
22,4,Directed,49,ZA/US,1.8
17,23,Directed,50,CA/IN,2.7
3,12,Directed,55,GB/MX,282.9615
4,5,Directed,56,US/DE,72.1858
1,4,Directed,59,FR/US,45.754799999999996
8,14,Directed,60,ES/IT,138.6
20,12,Directed,61,AR/MX,117
1,5,Directed,63,FR/DE,9.2599
3,3,Directed,65,GB/GB,56.592299999999994
2,12,Directed,68,TR/MX,7.6734
14,14,Directed,69,IT/IT,261
8,13,Directed,71,ES/VE,23.400000000000002
17,12,Directed,72,CA/MX,12.6
20,10,Directed,73,AR/BR,2.7
20,8,Directed,74,AR/ES,4.5
16,14,Directed,75,NL/IT,32.4
7,12,Directed,76,EG/MX,0.6374
22,3,Directed,77,ZA/GB,1.8
25,1,Directed,78,AE/FR,10.8
1,15,Directed,80,FR/PH,334.9905
14,12,Directed,85,IT/MX,31.5
10,7,Directed,87,BR/EG,2.7
5,5,Directed,88,DE/DE,137.70000000000002
16,28,Directed,89,NL/JP,0.9
26,1,Directed,92,SA/FR,87.11189999999999
8,8,Directed,93,ES/ES,96.3
14,21,Directed,94,IT/AU,18
19,12,Directed,95,IE/MX,33.300000000000004
5,14,Directed,96,DE/IT,43.2
1,23,Directed,98,FR/IN,131.8174
16,12,Directed,99,NL/MX,84.60000000000001
5,4,Directed,100,DE/US,30.6
8,4,Directed,102,ES/US,41.4
10,12,Directed,104,BR/MX,41.4
1,12,Directed,107,FR/MX,104.03769999999999
20,5,Directed,108,AR/DE,5.4
22,12,Directed,112,ZA/MX,16.2
8,20,Directed,113,ES/AR,14.4
8,31,Directed,116,ES/UY,4.5
27,1,Directed,125,ID/FR,162
28,1,Directed,126,JP/FR,74.7
3,4,Directed,127,GB/US,16.6706
1,17,Directed,128,FR/CA,164.49939999999998
12,12,Directed,130,MX/MX,60.300000000000004
3,5,Directed,131,GB/DE,35.096
4,10,Directed,133,US/BR,3.7708999999999997
13,12,Directed,135,VE/MX,50.4
3,14,Directed,136,GB/IT,7.896599999999999
6,12,Directed,137,PL/MX,0.9
8,9,Directed,138,ES/CO,27.900000000000002
14,23,Directed,139,IT/IN,1.8
2,23,Directed,140,TR/IN,7.6734
