Source,Target,Type,id,label,timeset,weight
47,47,Directed,3,IT/IT,,250.0
63,40,Directed,6,ES/AR,,54.0
12,12,Directed,8,US/US,,33389.0
34,32,Directed,16,TH/RU,,129.0
12,71,Directed,19,US/CA,,1098.0
12,56,Directed,24,US/JM,,69.0
49,12,Directed,25,JP/US,,265.0
42,42,Directed,26,AU/AU,,129.0
12,50,Directed,28,US/HK,,6.0
12,74,Directed,30,US/CO,,361.0
12,35,Directed,33,US/CN,,602.0
34,34,Directed,34,TH/TH,,359.0
12,34,Directed,35,US/TH,,76.0
12,42,Directed,37,US/AU,,598.0
31,12,Directed,39,FR/US,,134.0
12,87,Directed,40,US/GB,,442.0
42,74,Directed,41,AU/CO,,3.0
63,74,Directed,42,ES/CO,,98.0
12,79,Directed,43,US/NZ,,177.0
12,31,Directed,44,US/FR,,308.0
49,49,Directed,45,JP/JP,,635.0
12,49,Directed,46,US/JP,,542.0
87,87,Directed,47,GB/GB,,362.0
77,74,Directed,48,VE/CO,,11.0
12,47,Directed,49,US/IT,,155.0
44,12,Directed,51,BR/US,,247.0
63,32,Directed,52,ES/RU,,12.0
42,34,Directed,53,AU/TH,,2.0
12,39,Directed,54,US/KR,,146.0
31,35,Directed,55,FR/CN,,18.0
34,49,Directed,56,TH/JP,,2.0
27,12,Directed,57,DE/US,,12.0
34,42,Directed,58,TH/AU,,3.0
87,35,Directed,59,GB/CN,,68.0
12,36,Directed,61,US/AM,,1.0
7,12,Directed,62,MY/US,,146.0
87,12,Directed,63,GB/US,,730.0
12,44,Directed,64,US/BR,,556.0
63,47,Directed,65,ES/IT,,26.0
12,32,Directed,66,US/RU,,223.0
44,35,Directed,67,BR/CN,,11.0
87,32,Directed,68,GB/RU,,34.0
32,32,Directed,69,RU/RU,,233.0
72,41,Directed,70,MX/HU,,3.0
12,41,Directed,72,US/HU,,94.0
7,87,Directed,73,MY/GB,,10.0
31,41,Directed,74,FR/HU,,6.0
87,41,Directed,75,GB/HU,,14.0
12,65,Directed,76,US/RS,,14.0
42,35,Directed,78,AU/CN,,3.0
63,71,Directed,80,ES/CA,,17.0
15,12,Directed,81,ID/US,,174.0
12,40,Directed,82,US/AR,,298.0
87,47,Directed,83,GB/IT,,12.0
44,47,Directed,84,BR/IT,,7.0
62,62,Directed,85,IN/IN,,420.0
27,41,Directed,86,DE/HU,,3.0
62,42,Directed,87,IN/AU,,13.0
42,71,Directed,88,AU/CA,,6.0
34,12,Directed,89,TH/US,,302.0
63,41,Directed,90,ES/HU,,25.0
15,44,Directed,92,ID/BR,,8.0
31,31,Directed,93,FR/FR,,299.0
44,71,Directed,95,BR/CA,,22.0
34,71,Directed,96,TH/CA,,2.0
12,46,Directed,97,US/TT,,30.0
34,47,Directed,98,TH/IT,,19.0
31,56,Directed,99,FR/JM,,7.0
44,56,Directed,100,BR/JM,,3.0
31,71,Directed,101,FR/CA,,113.0
12,128,Directed,102,US/UA,,37.0
42,32,Directed,103,AU/RU,,5.0
44,44,Directed,104,BR/BR,,202.0
87,56,Directed,107,GB/JM,,6.0
12,62,Directed,108,US/IN,,2552.0
12,52,Directed,109,US/KG,,6.0
12,141,Directed,110,US/ME,,1.0
40,12,Directed,111,AR/US,,80.0
12,106,Directed,112,US/GH,,41.0
87,44,Directed,113,GB/BR,,60.0
87,74,Directed,114,GB/CO,,42.0
12,63,Directed,115,US/ES,,251.0
63,42,Directed,116,ES/AU,,16.0
87,49,Directed,117,GB/JP,,47.0
87,71,Directed,118,GB/CA,,47.0
15,49,Directed,119,ID/JP,,7.0
40,49,Directed,120,AR/JP,,7.0
49,109,Directed,121,JP/SE,,13.0
62,35,Directed,122,IN/CN,,11.0
77,47,Directed,123,VE/IT,,3.0
63,12,Directed,124,ES/US,,298.0
20,32,Directed,125,SA/RU,,2.0
49,35,Directed,126,JP/CN,,10.0
44,42,Directed,128,BR/AU,,5.0
63,49,Directed,129,ES/JP,,11.0
123,12,Directed,130,TR/US,,294.0
40,40,Directed,131,AR/AR,,76.0
87,42,Directed,132,GB/AU,,59.0
72,44,Directed,133,MX/BR,,8.0
31,135,Directed,134,FR/BE,,6.0
12,135,Directed,135,US/BE,,10.0
49,74,Directed,136,JP/CO,,1.0
62,12,Directed,137,IN/US,,216.0
12,61,Directed,138,US/IS,,9.0
12,125,Directed,139,US/LT,,59.0
31,107,Directed,140,FR/EG,,9.0
7,44,Directed,141,MY/BR,,6.0
34,44,Directed,142,TH/BR,,58.0
42,12,Directed,143,AU/US,,97.0
72,74,Directed,144,MX/CO,,21.0
72,12,Directed,145,MX/US,,58.0
44,74,Directed,146,BR/CO,,32.0
34,35,Directed,147,TH/CN,,14.0
34,41,Directed,148,TH/HU,,6.0
49,61,Directed,149,JP/IS,,1.0
15,39,Directed,150,ID/KR,,22.0
77,12,Directed,151,VE/US,,17.0
49,32,Directed,152,JP/RU,,6.0
44,34,Directed,153,BR/TH,,3.0
62,41,Directed,154,IN/HU,,3.0
72,35,Directed,155,MX/CN,,3.0
15,34,Directed,156,ID/TH,,12.0
87,40,Directed,157,GB/AR,,18.0
63,35,Directed,158,ES/CN,,27.0
51,63,Directed,159,NG/ES,,1.0
40,35,Directed,161,AR/CN,,2.0
49,42,Directed,162,JP/AU,,7.0
12,99,Directed,163,US/UZ,,8.0
44,49,Directed,164,BR/JP,,15.0
15,74,Directed,165,ID/CO,,7.0
