id,Label,timeSeries

4,AR,
5,IT,
6,NL,
7,MY,
8,ES,
9,BR,
11,AU,
11,AU,
12,US,
13,JP,
14,TH,
15,ID,
16,RU,
17,FR,
18,CA,
19,TR,
20,SA,
21,GB,
22,JM,
23,MX,
24,HK,
25,IN,
26,CO,
27,DE,
28,VE,
29,CN,
30,NZ,
31,FR,
32,RU,
33,KR,
34,TH,
35,CN,
36,AM,
37,HU,
38,RS,
39,KR,
40,AR,
41,HU,
42,AU,
43,PT,
44,BR,
45,SG,
46,TT,
47,IT,
48,UA,
49,JP,
50,HK,
51,NG,
52,KG,
53,ME,
54,GH,
55,SE,
56,JM,
57,BE,
58,IS,
59,LT,
60,EG,
61,IS,
62,IN,
63,ES,
64,UZ,
65,RS,
66,SN,
67,KZ,
68,EC,
69,PL,
70,KE,
71,CA,
72,MX,
73,LA,
74,CO,
75,UG,
76,IE,
77,VE,
78,CU,
79,NZ,
80,RO,
81,IQ,
82,CU,
83,DJ,
84,SO,
85,AD,
86,TN,
87,GB,
88,IL,
89,IE,
90,GE,
91,KZ,
92,KP,
93,AL,
94,AD,
95,BO,
96,PA,
97,PE,
98,ET,
99,UZ,
100,IQ,
101,IL,
102,EE,
103,GE,
104,QA,
105,KE,
106,GH,
107,EG,
108,QA,
109,SE,
110,IO,
111,MZ,
112,NA,
113,MD,
114,MH,
115,EE,
116,SK,
117,BY,
118,NO,
119,CZ,
120,AZ,
121,KP,
122,CM,
123,TR,
124,FI,
125,LT,
126,AZ,
127,DO,
128,UA,
129,FJ,
130,MD,
131,LK,
132,KI,
133,PG,
134,TN,
135,BE,
136,NO,
137,BL,
138,BI,
139,CI,
140,CY,
141,ME,
