Country,Twitter population,Percentage
US,453335,34.34356061
BR,169577,12.84674242
GB,83647,6.336893939
AR,62500,4.734848485
TR,49970,3.785606061
FR,37485,2.839772727
ES,36038,2.730151515
JP,35506,2.689848485
MX,25974,1.967727273
PH,21206,1.606515152
MY,20548,1.556666667
RU,20302,1.538030303
CA,18402,1.394090909
SA,16964,1.285151515
IT,16801,1.27280303
TH,16767,1.270227273
PT,12306,0.932272727
CO,11726,0.888333333
ID,10731,0.812954545
UY,9884,0.748787879
VE,9792,0.741818182
ZA,9715,0.735984848
DE,8752,0.663030303
CL,8683,0.65780303
IN,7863,0.595681818
EG,7421,0.56219697
NL,7133,0.540378788
KW,6796,0.514848485
AE,6566,0.497424242
IE,5678,0.430151515
NG,5283,0.400227273
PL,5075,0.384469697
UA,4409,0.334015152
BE,3834,0.290454545
SE,3727,0.282348485
PK,3408,0.258181818
PE,3385,0.256439394
GR,2936,0.222424242
BY,2927,0.221742424
EC,2848,0.215757576
AU,2429,0.184015152
PY,2337,0.177045455
DZ,2086,0.158030303
KR,2083,0.15780303
OM,2005,0.151893939
SG,1945,0.147348485
QA,1868,0.141515152
DO,1859,0.140833333
LB,1705,0.129166667
BH,1674,0.126818182
KE,1607,0.121742424
CH,1601,0.121287879
GH,1520,0.115151515
IQ,1502,0.113787879
MA,1478,0.111969697
CR,1420,0.107575758
IL,1348,0.102121212
AT,1319,0.099924242
JO,1302,0.098636364
FI,1231,0.093257576
GT,1228,0.093030303
NO,1130,0.085606061
PA,1074,0.081363636
RS,1070,0.081060606
DK,1008,0.076363636
CZ,996,0.075454545
TN,853,0.064621212
CN,735,0.055681818
LY,718,0.054393939
NI,704,0.053333333
HR,687,0.052045455
LV,686,0.051969697
CY,648,0.049090909
JM,642,0.048636364
RO,625,0.047348485
NZ,606,0.045909091
BS,586,0.044393939
BG,583,0.044166667
IR,571,0.043257576
AZ,559,0.042348485
SV,539,0.040833333
HU,528,0.04
BA,492,0.037272727
HK,476,0.036060606
BW,476,0.036060606
HN,463,0.035075758
UG,431,0.032651515
BD,417,0.031590909
SD,400,0.03030303
TW,394,0.029848485
TZ,390,0.029545455
NP,387,0.029318182
CI,386,0.029242424
CM,386,0.029242424
VN,377,0.028560606
ME,363,0.0275
KZ,361,0.027348485
BB,355,0.026893939
AG,353,0.026742424
NA,351,0.026590909
AO,341,0.025833333
SN,340,0.025757576
LK,338,0.025606061
TT,334,0.02530303
XK,324,0.024545455
SI,322,0.024393939
MQ,306,0.023181818
BO,281,0.021287879
RE,274,0.020757576
HT,256,0.019393939
IS,246,0.018636364
GP,228,0.017272727
MT,224,0.016969697
MK,204,0.015454545
GE,203,0.015378788
ZW,197,0.014924242
YE,184,0.013939394
TC,170,0.012878788
MV,156,0.011818182
MN,151,0.011439394
EE,139,0.010530303
GA,136,0.01030303
GU,135,0.010227273
SY,130,0.009848485
VG,130,0.009848485
SK,129,0.009772727
LT,127,0.009621212
LU,123,0.009318182
UZ,120,0.009090909
ZM,116,0.008787879
RW,115,0.008712121
MZ,115,0.008712121
KG,112,0.008484848
BN,110,0.008333333
LC,105,0.007954545
CU,102,0.007727273
KY,98,0.007424242
BM,95,0.00719697
GF,95,0.00719697
MU,92,0.006969697
AM,91,0.006893939
AL,87,0.006590909
GI,87,0.006590909
AW,84,0.006363636
MC,79,0.005984848
KH,75,0.005681818
MW,73,0.005530303
PR,73,0.005530303
CD,70,0.00530303
IM,70,0.00530303
CG,67,0.005075758
MD,62,0.00469697
GN,56,0.004242424
MP,55,0.004166667
KP,55,0.004166667
MO,54,0.004090909
,54,0.004090909
MM,43,0.003257576
SC,41,0.003106061
LS,40,0.003030303
LA,39,0.002954545
MG,38,0.002878788
SO,34,0.002575758
VA,33,0.0025
BZ,32,0.002424242
TM,31,0.002348485
VC,30,0.002272727
PF,30,0.002272727
CV,28,0.002121212
CW,26,0.001969697
AF,23,0.001742424
SX,23,0.001742424
MF,23,0.001742424
BJ,22,0.001666667
ML,22,0.001666667
VI,21,0.001590909
GD,21,0.001590909
AQ,21,0.001590909
SZ,20,0.001515152
AD,20,0.001515152
GM,20,0.001515152
GY,20,0.001515152
AS,18,0.001363636
SR,17,0.001287879
TG,17,0.001287879
KN,16,0.001212121
YT,15,0.001136364
LR,15,0.001136364
TD,15,0.001136364
ET,13,0.000984848
BQ,13,0.000984848
BT,12,0.000909091
FJ,10,0.000757576
TO,9,0.000681818
MR,8,0.000606061
DM,7,0.000530303
BV,7,0.000530303
JE,6,0.000454545
MS,5,0.000378788
SM,5,0.000378788
DJ,5,0.000378788
BL,4,0.00030303
BI,4,0.00030303
GL,4,0.00030303
WS,4,0.00030303
AX,3,0.000227273
FM,3,0.000227273
AI,3,0.000227273
NE,3,0.000227273
NC,3,0.000227273
SB,3,0.000227273
VU,3,0.000227273
IO,2,0.000151515
TJ,2,0.000151515
PG,2,0.000151515
GQ,2,0.000151515
GG,2,0.000151515
FO,2,0.000151515
FK,2,0.000151515
BF,2,0.000151515
PW,0,0
LI,0,0
CX,0,0
ER,0,0
CF,0,0
CK,0,0
KI,0,0
MH,0,0
NU,0,0
WF,0,0
SL,0,0
TL,0,0
